image_filename,score
lunch_001.jpg,80.0 
lunch_002.jpg,60.0 
lunch_003.jpg,75.0 
lunch_004.jpg,45.0 
lunch_005.jpg,50.0 
lunch_006.jpg,80.0 
lunch_007.jpg,85.0 
lunch_008.jpg,90.0 
lunch_009.jpg,70.0 
lunch_010.jpg,75.0 
lunch_011.jpg,80.0 
lunch_012.jpg,60.0 
lunch_013.jpg,65.0 
lunch_014.jpg,85.0 
lunch_015.jpg,80.0 
lunch_016.jpg,85.0 
lunch_017.jpg,90.0 
lunch_018.jpg,90.0 
lunch_019.jpg,65.0 
lunch_020.jpg,85.0 
lunch_021.jpg,75.0 
lunch_022.jpg,70.0 
lunch_023.jpg,80.0 
lunch_024.jpg,65.0 
lunch_025.jpg,80.0 
lunch_026.jpg,80.0 
lunch_027.jpg,60.0 
lunch_028.jpg,75.0 
lunch_029.jpg,95.0 
lunch_030.jpg,90.0 
lunch_031.jpg,75.0 
lunch_032.jpg,85.0 
lunch_033.jpg,40.0 
lunch_034.jpg,80.0 
lunch_035.jpg,90.0 
lunch_036.jpg,100.0 
lunch_037.jpg,80.0 
lunch_038.jpg,100.0 
lunch_039.jpg,95.0 
lunch_040.jpg,100.0 
lunch_041.jpg,50.0 
lunch_042.jpg,85.0 
lunch_043.jpg,75.0 
lunch_044.jpg,90.0 
lunch_045.jpg,40.0 
lunch_046.jpg,65.0 
lunch_047.jpg,70.0 
lunch_048.jpg,80.0 
lunch_049.jpg,80.0 
lunch_050.jpg,75.0 
lunch_051.jpg,70.0 
lunch_052.jpg,85.0 
lunch_053.jpg,75.0 
lunch_054.jpg,90.0 
lunch_055.jpg,95.0 
lunch_056.jpg,80.0 
lunch_057.jpg,85.0 
lunch_058.jpg,65.0 
lunch_059.jpg,80.0 
lunch_060.jpg,80.0 
lunch_061.jpg,55.0 
lunch_062.jpg,60.0 
lunch_063.jpg,95.0 
lunch_064.jpg,90.0 
lunch_065.jpg,90.0 
lunch_066.jpg,85.0 
lunch_067.jpg,85.0 
lunch_068.jpg,65.0 
lunch_069.jpg,85.0 
lunch_070.jpg,90.0 
lunch_071.jpg,95.0 
lunch_072.jpg,90.0 
lunch_073.jpg,95.0 
lunch_074.jpg,90.0 
lunch_075.jpg,85.0 
lunch_076.jpg,70.0 
lunch_077.jpg,85.0 
lunch_078.jpg,90.0 
lunch_079.jpg,95.0 
lunch_080.jpg,90.0 
lunch_081.jpg,35.0 
lunch_082.jpg,45.0 
lunch_083.jpg,50.0 
lunch_084.jpg,35.0 
lunch_085.jpg,20.0 
lunch_086.jpg,15.0 
lunch_087.jpg,15.0 
lunch_088.jpg,30.0 
lunch_089.jpg,15.0 
lunch_090.jpg,20.0 
lunch_091.jpg,25.0 
lunch_092.jpg,20.0 
lunch_093.jpg,10.0 
lunch_094.jpg,25.0 
lunch_095.jpg,15.0 
lunch_096.jpg,10.0 
lunch_097.jpg,10.0 
lunch_098.jpg,5.0 
lunch_099.jpg,5.0 
lunch_100.jpg,15.0 
lunch_101.jpg,30.0 
lunch_102.jpg,10.0 
